Plant_ID	Block	Row	Col	Genotype	Site	Obs	Stg	Veg	TCO	H	W	rosLN	rosDLN	rosAD	cauLN	cauDLN	cauAD	NFr	LS	AvFr	RosHPLC	CauHPLC	FrHPLC	FRStg	NOTES			
kw_0639	a.13	D	9	JAM	SIL	JL	SO		0										62					DEHISCED				
kw_0640	a.13	D	10	SIL	SIL	JL	SO		0										38					DEHISCED	DRIED OUT			
kw_0641	a.13	E	1	VNH	SIL	JL	R																					
kw_0642	a.13	E	2	PAR	SIL	JL	X																					
kw_0643	a.13	E	3	FLF	SIL	JL	R																					
kw_0644	a.13	E	4	THT	SIL	JL	SO		0										55					DEHISCED				
kw_0645	a.13	E	5	MAH	SIL	JL	X																					
kw_0646	a.13	E	6	RUB	SIL	JL	R																					
kw_0647	a.13	E	7	HMC	SIL	JL	X																					
kw_0648	a.13	E	8	BVC	SIL	JL	X																					
kw_0649	a.13	E	9	EGM	SIL	JL	SO		0										74					DEHISCED				
kw_0650	a.13	E	10	HMC	SIL	JL	X																					
kw_0651	a.14	A	1	VNH	SIL	MW	R																					
kw_0652	a.14	A	2	RUB	SIL	MW	X																					
kw_0653	a.14	A	3	SAD	SIL	MW	R																					
kw_0654	a.14	A	4	THT	SIL	MW	SO		0										52					RIPE				
kw_0655	a.14	A	5	LTM	SIL	MW	SO		0										53					DEHISCED				
kw_0656	a.14	A	6	DDW	SIL	MW	SO		0										56					DEHISCED				
kw_0657	a.14	A	7	MIL	SIL	MW	R																					
kw_0658	a.14	A	8	BSC	SIL	MW	SO		0										44					RIPE				
kw_0659	a.14	A	9	BNK	SIL	MW	X																					
kw_0660	a.14	A	10	PCS	SIL	MW	X																					
kw_0661	a.14	B	1	BVM	SIL	MW	X																					
kw_0662	a.14	B	2	JAM	SIL	MW	SO		0										52					DEHISCED				
kw_0663	a.14	B	3	LTM	SIL	MW	SO		0										55					DEHISCED				
kw_0664	a.14	B	4	SIL	SIL	MW	SO		0										45					BROWN				
kw_0665	a.14	B	5	BVM	SIL	MW	X																					
kw_0666	a.14	B	6	WHC	SIL	MW	SO		0										56					DEHISCED				
kw_0667	a.14	B	7	PCS	SIL	MW	X																					
kw_0668	a.14	B	8	BVC	SIL	MW	X																					
kw_0669	a.14	B	9	FLF	SIL	MW	M																					
kw_0670	a.14	B	10	BNK	SIL	MW	X																					
kw_0671	a.14	C	1	BSC	SIL	MW	SO		0										55					DEHISCED				
kw_0672	a.14	C	2	JAM	SIL	MW	SO		0										62					DEHISCED				
kw_0673	a.14	C	3	DDW	SIL	MW	SO		0										50					DEHISCED	ATTN ROSE			
kw_0674	a.14	C	4	ECM	SIL	MW	SO		0										53					GREEN				
kw_0675	a.14	C	5	HMC	SIL	MW	X																					
kw_0676	a.14	C	6	BVC	SIL	MW	M																					
kw_0677	a.14	C	7	IRF	SIL	MW	SO		0										51					DEHISCED				
kw_0678	a.14	C	8	MAH	SIL	MW	X																					
kw_0679	a.14	C	9	BHM	SIL	MW	R																					
kw_0680	a.14	C	10	WHC	SIL	MW	SO		0										52					DEHISCED				
kw_0681	a.14	D	1	BHM	SIL	MW	X																					
kw_0682	a.14	D	2	ECM	SIL	MW	SO		0										68					RIPE				
kw_0683	a.14	D	3	VNH	SIL	MW	X																					
kw_0684	a.14	D	4	BHS	SIL	MW	R																					
kw_0685	a.14	D	5	PAR	SIL	MW	X																					
kw_0686	a.14	D	6	IRF	SIL	MW	SO		0										53					DEHISCED				
kw_0687	a.14	D	7	FLF	SIL	MW	X																					
kw_0688	a.14	D	8	MFP	SIL	MW	X																					
kw_0689	a.14	D	9	RUB	SIL	MW	X																					
kw_0690	a.14	D	10	THT	SIL	MW	R																					
kw_0691	a.14	E	1	BHS	SIL	MW	R																					
kw_0692	a.14	E	2	HMC	SIL	MW	R																					
kw_0693	a.14	E	3	EGM	SIL	MW	X																					
kw_0694	a.14	E	4	SAD	SIL	MW	SO		0										55					RIPE				
kw_0695	a.14	E	5	PAR	SIL	MW	X																					
kw_0696	a.14	E	6	MIL	SIL	MW	SO		0										50					RIPE				
kw_0697	a.14	E	7	MAH	SIL	MW	SO		1										45					GREEN				
kw_0698	a.14	E	8	SIL	SIL	MW	SO		0										40					GREEN				
kw_0699	a.14	E	9	EGM	SIL	MW	X																					
kw_0700	a.14	E	10	MFP	SIL	MW	X																					
kw_0701	a.15	A	1	WHC	SIL	RK	R		0																			
kw_0702	a.15	A	2	BHS	SIL	RK	R		0																			
kw_0703	a.15	A	3	BVC	SIL	RK	M																					
kw_0704	a.15	A	4	JAM	SIL	RK	x																					
kw_0705	a.15	A	5	THT	SIL	RK	R		0																			
kw_0706	a.15	A	6	VNH	SIL	RK	x																					
kw_0707	a.15	A	7	WHC	SIL	RK	R		0																			
kw_0708	a.15	A	8	EGM	SIL	RK	SO		0										48					BROWN				
kw_0709	a.15	A	9	BHS	SIL	RK	x																					
kw_0710	a.15	A	10	MFP	SIL	RK	M																					
