HPLC_ID	Site	Experiment	Plant_ID	Type	Stg	Weight	Harvested	Extracted	Leachtime	Location	Batch	rand
6409	SIL	Field2014	kw_3341	rosette	B	2	10-Jun-14	19-Aug-14	70	p48_G_06	p48	0.415432942
6537	ALD	Field2014	kw_1295	rosette	B	2.1	6-Jun-14	19-Aug-14	74	p48_G_07	p48	0.41648563
6347	ALD	Field2014	kw_0066	rosette	B	2.9	6-Jun-14	19-Aug-14	74	p48_G_08	p48	0.41693132
6298	ALD	Field2014	kw_0575	rosette	FO	2.1	6-Jun-14	19-Aug-14	74	p48_G_09	p48	0.417336314
6443	ALD	Field2014	kw_0983	rosette	B	3.1	8-Jun-14	19-Aug-14	74	p48_G_10	p48	0.418362753
7563	MAH	Field2014	kw_1810	rosette	R	3.5	12-Jun-14	19-Aug-14	68	p48_G_11	p48	0.418809138
7376	JAM	Field2014	kw_2624	rosette	B	1.8	28-Jun-14	19-Aug-14	52	p48_G_12	p48	0.419226568
7144	MAH	Field2014	kw_1622	rosette	B	3.3	12-Jun-14	19-Aug-14	68	p48_H_01	p48	0.420171061
6982	SIL	Field2014	kw_3766	rosette	R	1.4	10-Jun-14	19-Aug-14	70	p48_H_02	p48	0.420720612
7743	JAM	Field2014	kw_2444	rosette	R	2.3	28-Jun-14	19-Aug-14	52	p48_H_03	p48	0.421187447
6335	ALD	Field2014	kw_0961	rosette	FO	3.3	8-Jun-14	19-Aug-14	72	p48_H_04	p48	0.421803852
7474	MAH	Field2014	kw_2306	rosette	R	2.3	12-Jun-14	19-Aug-14	68	p48_H_05	p48	0.423665224
6979	SIL	Field2014	kw_3706	rosette	B	2.3	10-Jun-14	19-Aug-14	70	p48_H_06	p48	0.424021461
6389	SIL	Field2014	kw_3254	rosette	B	2.7	10-Jun-14	19-Aug-14	70	p48_H_07	p48	0.424720847
6425	SIL	Field2014	kw_3302	rosette	B	3	10-Jun-14	19-Aug-14	70	p48_H_08	p48	0.425020001
7593	JAM	Field2014	kw_2682	rosette	B	3.5	28-Jun-14	19-Aug-14	52	p48_H_09	p48	0.425085173
6966	SIL	Field2014	kw_3728	rosette	R	1	10-Jun-14	19-Aug-14	70	p48_H_10	p48	0.425325784
7542	MAH	Field2014	kw_1896	rosette	R	3.4	12-Jun-14	19-Aug-14	68	p48_H_11	p48	0.426485374
7658	JAM	Field2014	kw_3044	rosette	R	5.9	28-Jun-14	19-Aug-14	52	p48_H_12	p48	0.427060069
7214	MAH	Field2014	kw_2024	rosette	R	4	12-Jun-14	19-Aug-14	68	p49_A_03	p49	0.428609959
7212	MAH	Field2014	kw_2020	rosette	R	4.2	12-Jun-14	19-Aug-14	68	p49_A_04	p49	0.428767476
7811	JAM	Field2014	kw_2881	rosette	R	4.6	28-Jun-14	19-Aug-14	52	p49_A_05	p49	0.431188922
6558	ALD	Field2014	kw_0548	rosette	FO	5.4	6-Jun-14	19-Aug-14	74	p49_A_06	p49	0.431790236
7752	JAM	Field2014	kw_2470	rosette	B	5.3	28-Jun-14	19-Aug-14	52	p49_A_07	p49	0.432552091
7117	SIL	Field2014	kw_3951	rosette	B	1.6	10-Jun-14	19-Aug-14	70	p49_A_08	p49	0.433876867
7734	JAM	Field2014	kw_2411	rosette	R	4.1	28-Jun-14	19-Aug-14	52	p49_A_09	p49	0.433979154
6859	SIL	Field2014	kw_3438	rosette	B	1.7	10-Jun-14	19-Aug-14	70	p49_A_10	p49	0.43413667
7276	MAH	Field2014	kw_2180	rosette	R	7.8	12-Jun-14	19-Aug-14	68	p49_A_11	p49	0.434428
6472	ALD	Field2014	kw_0803	rosette	B	2.6	8-Jun-14	19-Aug-14	72	p49_A_12	p49	0.435567783
7709	JAM	Field2014	kw_3173	rosette	B	3.3	28-Jun-14	19-Aug-14	52	p49_B_01	p49	0.435757575
6992	SIL	Field2014	kw_3762	rosette	B	1.3	10-Jun-14	19-Aug-14	70	p49_B_02	p49	0.436188832
6399	SIL	Field2014	kw_3263	rosette	FO	2.1	10-Jun-14	19-Aug-14	70	p49_B_03	p49	0.437107084
6808	ALD	Field2014	kw_0366	rosette	R	4.8	6-Jun-14	19-Aug-14	74	p49_B_04	p49	0.437209866
6566	ALD	Field2014	kw_1220	rosette	B	8.6	6-Jun-14	19-Aug-14	74	p49_B_05	p49	0.439527991
7765	JAM	Field2014	kw_2529	rosette	R	6.3	28-Jun-14	19-Aug-14	52	p49_B_06	p49	0.439976476
7525	MAH	Field2014	kw_1883	rosette	R	3.2	12-Jun-14	19-Aug-14	68	p49_B_07	p49	0.440201592
6578	ALD	Field2014	kw_0878	rosette	FS2	4.5	8-Jun-14	19-Aug-14	72	p49_B_08	p49	0.441001813
6488	ALD	Field2014	kw_0499	rosette	FS1	5.2	6-Jun-14	19-Aug-14	74	p49_B_09	p49	0.441385749
7644	JAM	Field2014	kw_3017	rosette	R	6.1	28-Jun-14	19-Aug-14	52	p49_B_10	p49	0.443080984
6516	ALD	Field2014	kw_0234	rosette	R	3.1	6-Jun-14	19-Aug-14	74	p49_B_11	p49	0.444792812
6317	ALD	Field2014	kw_0817	rosette	FO	3.3	8-Jun-14	19-Aug-14	72	p49_B_12	p49	0.445400555
6261	ALD	Field2014	kw_1184	rosette	FO	5.3	6-Jun-14	19-Aug-14	74	p49_C_01	p49	0.44571764
6329	ALD	Field2014	kw_0196	rosette	R	2.7	6-Jun-14	19-Aug-14	74	p49_C_02	p49	0.446019239
7329	MAH	Field2014	kw_2393	rosette	R	4.5	12-Jun-14	19-Aug-14	68	p49_C_03	p49	0.448882768
6528	ALD	Field2014	kw_1264	rosette	FS2	2.8	6-Jun-14	19-Aug-14	74	p49_C_04	p49	0.450642481
7502	MAH	Field2014	kw_1938	rosette	B	1.5	12-Jun-14	19-Aug-14	68	p49_C_05	p49	0.450699535
6515	ALD	Field2014	kw_0227	rosette	B	3.3	6-Jun-14	19-Aug-14	74	p49_C_06	p49	0.451279222
6374	SIL	Field2014	kw_3237	rosette	FS2	1.1	10-Jun-14	19-Aug-14	70	p49_C_07	p49	0.451551548
