Plant_ID	Block	Genotype	Site	Obs	Date	Stg	TCO	H	rosLN	rosDLN	rosAD	DamPC
kw_0148	a.03	BSC	ALD	MO		X						
kw_0149	a.03	MIL	ALD	MO		X						
kw_0150	a.03	BVC	ALD	MO		R	0	57	10	4	20	8
kw_0151	a.04	DDW	ALD	CR		X						
kw_0152	a.04	WHC	ALD	CR		X						
kw_0153	a.04	ECM	ALD	CR		R	0	43	11	7	40	25.45454545
kw_0154	a.04	EGM	ALD	CR		X						
kw_0155	a.04	JAM	ALD	CR		X						
kw_0156	a.04	BNK	ALD	CR		X						
kw_0157	a.04	ECM	ALD	CR		X						
kw_0158	a.04	SAD	ALD	CR		FS	0	217	0	0	0	0
kw_0159	a.04	IRF	ALD	CR		FO	0	221	4	1	10	2.5
kw_0160	a.04	MFP	ALD	CR		B	0	134	6	0	0	0
kw_0161	a.04	BVC	ALD	CR		X						
kw_0162	a.04	PCS	ALD	CR		FS	0	263	0	0	0	0
kw_0163	a.04	HMC	ALD	CR		X						
kw_0164	a.04	BVM	ALD	CR		R	0	62	22	14	20	12.72727273
kw_0165	a.04	BVM	ALD	CR		X						
kw_0166	a.04	SIL	ALD	CR		FS	0	234	4	3	20	15
kw_0167	a.04	BNK	ALD	CR		X						
kw_0168	a.04	DDW	ALD	CR		FS	0	239	4	4	10	10
kw_0169	a.04	BHS	ALD	CR		FO	0	127	3	1	10	3.333333333
kw_0170	a.04	WHC	ALD	CR		B	1	192	0	0	0	0
kw_0171	a.04	VNH	ALD	CR		X						
kw_0172	a.04	EGM	ALD	CR		R	1	23	6	2	20	6.666666667
kw_0173	a.04	MIL	ALD	CR		X						
kw_0174	a.04	MIL	ALD	CR		R	0	37	9	5	10	5.555555556
kw_0175	a.04	THT	ALD	CR		X						
kw_0176	a.04	PCS	ALD	CR		FS	0	287	0	0	0	0
kw_0177	a.04	BVC	ALD	CR		FO	0	185	1	1	20	20
kw_0178	a.04	MAH	ALD	CR		FS	0	198	0	0	0	0
kw_0179	a.04	IRF	ALD	CR		FS	0	279	3	1	5	1.666666667
kw_0180	a.04	MFP	ALD	CR		B	0	111	4	3	20	15
kw_0181	a.04	MAH	ALD	CR		X						
kw_0182	a.04	BHS	ALD	CR		X						
kw_0183	a.04	RUB	ALD	CR		R	0	35	12	10	20	16.66666667
kw_0184	a.04	BSC	ALD	CR		FS	0	144	6	6	20	20
kw_0185	a.04	FLF	ALD	CR		X						
kw_0186	a.04	THT	ALD	CR		X						
kw_0187	a.04	PAR	ALD	CR		FS	0	280	9	3	10	3.333333333
kw_0188	a.04	VNH	ALD	CR		R	0	48	13	12	30	27.69230769
kw_0189	a.04	RUB	ALD	CR		R	0	42	15	12	40	32
kw_0190	a.04	JAM	ALD	CR		B	1	50	1	1	20	20
kw_0191	a.04	BHM	ALD	CR		R	1	46	17	12	20	14.11764706
kw_0192	a.04	SAD	ALD	CR		X						
kw_0193	a.04	LTM	ALD	CR		X						
kw_0194	a.04	HMC	ALD	CR		B	1	216	0	0	0	0
kw_0195	a.04	SIL	ALD	CR		FO	0	165	0	0	0	0
kw_0196	a.04	BHM	ALD	CR		R	0	43	9	9	30	30
kw_0197	a.04	BSC	ALD	CR		FO	0	254	0	0	0	0
kw_0198	a.04	FLF	ALD	CR		FS	0	271	0	0	0	0
kw_0199	a.04	PAR	ALD	CR		B	1	108	17	8	10	4.705882353
kw_0200	a.04	LTM	ALD	CR		FO	0	197	0	0	0	0
kw_0201	a.05	BHM	ALD	MO		X						
kw_0202	a.05	MIL	ALD	MO		X						
kw_0203	a.05	SIL	ALD	MO		X						
kw_0204	a.05	DDW	ALD	MO		FO	0	139	8	8	40	40
kw_0205	a.05	LTM	ALD	MO		B	0	129	0	0	0	0
kw_0206	a.05	BHS	ALD	MO		X						
kw_0207	a.05	BVC	ALD	MO		R	0	26	9	9	20	20
kw_0208	a.05	WHC	ALD	MO		X						
kw_0209	a.05	ECM	ALD	MO		X						
kw_0210	a.05	THT	ALD	MO		B	0	115	6	6	40	40
kw_0211	a.05	VNH	ALD	MO		R	0	39	12	12	10	10
kw_0212	a.05	MAH	ALD	MO		X						
kw_0213	a.05	SAD	ALD	MO		X						
kw_0214	a.05	FLF	ALD	MO		B	0	71	0	0	0	0
kw_0215	a.05	RUB	ALD	MO		B	0	58	8	8	50	50
kw_0216	a.05	BSC	ALD	MO		X						
kw_0217	a.05	ECM	ALD	MO		B	0	146	0	0	0	0
kw_0218	a.05	DDW	ALD	MO		R	0	22	8	7	10	8.75
kw_0219	a.05	BVC	ALD	MO		X						
kw_0220	a.05	PCS	ALD	MO		B	0	92	10	2	10	2
kw_0221	a.05	PAR	ALD	MO		X						
kw_0222	a.05	RUB	ALD	MO		X						
kw_0223	a.05	BHS	ALD	MO		B	1	82	0	0	0	0
kw_0224	a.05	BSC	ALD	MO		FO	0	86	0	0	0	0
kw_0225	a.05	SAD	ALD	MO		X						
kw_0226	a.05	EGM	ALD	MO		B	1	70	7	7	60	60
kw_0227	a.05	VNH	ALD	MO		B	1	81	0	0	0	0
kw_0228	a.05	LTM	ALD	MO		X						
kw_0229	a.05	MAH	ALD	MO		X						
kw_0230	a.05	BNK	ALD	MO		X						
kw_0231	a.05	IRF	ALD	MO		X						
kw_0232	a.05	WHC	ALD	MO		X						
kw_0233	a.05	BHM	ALD	MO		X						
kw_0234	a.05	IRF	ALD	MO		R	0	46	12	12	30	30
kw_0235	a.05	MFP	ALD	MO		X						
kw_0236	a.05	JAM	ALD	MO		B	1	69	0	0	0	0
kw_0237	a.05	SIL	ALD	MO		X						
kw_0238	a.05	HMC	ALD	MO		X						
kw_0239	a.05	THT	ALD	MO		X						
kw_0240	a.05	PAR	ALD	MO		FO	0	91	5	4	20	16
kw_0241	a.05	JAM	ALD	MO		X						
kw_0242	a.05	BVM	ALD	MO		R	0	25	18	8	20	8.888888889
kw_0243	a.05	EGM	ALD	MO		X						
kw_0244	a.05	MFP	ALD	MO		X						
kw_0245	a.05	BVM	ALD	MO		R	0	32	14	14	30	30
kw_0246	a.05	FLF	ALD	MO		R	0	15	11	6	10	5.454545455
kw_0247	a.05	PCS	ALD	MO		X						
kw_0248	a.05	MIL	ALD	MO		X						
kw_0249	a.05	HMC	ALD	MO		B	0	154	0	0	0	0
kw_0250	a.05	BNK	ALD	MO		X						
kw_0251	a.06	BNK	ALD	CR		X						
kw_0252	a.06	MIL	ALD	CR		X						
kw_0253	a.06	PAR	ALD	CR		B	0	163	0	0	0	0
kw_0254	a.06	ECM	ALD	CR		X						
kw_0255	a.06	ECM	ALD	CR		X						
kw_0256	a.06	BSC	ALD	CR		X						
kw_0257	a.06	RUB	ALD	CR		X						
kw_0258	a.06	THT	ALD	CR		X						
kw_0259	a.06	MAH	ALD	CR		FO	0	95	0	0	0	0
kw_0260	a.06	BHM	ALD	CR		X						
kw_0261	a.06	SIL	ALD	CR		X						
kw_0262	a.06	WHC	ALD	CR		B	0	80	0	0	0	0
kw_0263	a.06	MAH	ALD	CR		X						
kw_0264	a.06	THT	ALD	CR		X						
kw_0265	a.06	BHM	ALD	CR		B	0	211	0	0	0	0
kw_0266	a.06	PCS	ALD	CR		B	0	174	0	0	0	0
kw_0267	a.06	DDW	ALD	CR		X						
kw_0268	a.06	BVM	ALD	CR		X						
kw_0269	a.06	DDW	ALD	CR		B	1	113	3	2	20	13.33333333
kw_0270	a.06	RUB	ALD	CR		B	0	97	2	2	10	10
kw_0271	a.06	BHS	ALD	CR		B	0	105	1	1	60	60
kw_0272	a.06	JAM	ALD	CR		R	0	20	16	6	10	3.75
kw_0273	a.06	IRF	ALD	CR		B	0	118	5	2	30	12
kw_0274	a.06	EGM	ALD	CR		B	0	131	1	0	0	0
kw_0275	a.06	HMC	ALD	CR		X						
kw_0276	a.06	WHC	ALD	CR		X						
kw_0277	a.06	BVC	ALD	CR		X						
kw_0278	a.06	VNH	ALD	CR		X						
kw_0279	a.06	PAR	ALD	CR		X						
kw_0280	a.06	BVM	ALD	CR		X						
kw_0281	a.06	JAM	ALD	CR		R	0	34	15	4	30	8
kw_0282	a.06	FLF	ALD	CR		X						
kw_0283	a.06	BNK	ALD	CR		X						
kw_0284	a.06	LTM	ALD	CR		X						
kw_0285	a.06	MFP	ALD	CR		X						
kw_0286	a.06	BSC	ALD	CR		X						
kw_0287	a.06	SAD	ALD	CR		X						
kw_0288	a.06	BVC	ALD	CR		X						
kw_0289	a.06	IRF	ALD	CR		B	0	85	4	4	50	50
kw_0290	a.06	BHS	ALD	CR		X						
kw_0291	a.06	HMC	ALD	CR		B	0	210	0	0	0	0
kw_0292	a.06	LTM	ALD	CR		X						
kw_0293	a.06	MIL	ALD	CR		X						
kw_0294	a.06	VNH	ALD	CR		X						
kw_0295	a.06	MFP	ALD	CR		R	1	20	10	5	10	5
kw_0296	a.06	SIL	ALD	CR		B	0	42	4	4	30	30
kw_0297	a.06	EGM	ALD	CR		FO	0	165	0	0	0	0
kw_0298	a.06	FLF	ALD	CR		X						
kw_0299	a.06	SAD	ALD	CR		X						
kw_0300	a.06	PCS	ALD	CR		R	0	33	9	5	50	27.77777778
kw_0301	a.07	PAR	ALD	CR		FS	0	38	5	5	60	60
kw_0302	a.07	MAH	ALD	CR		B	1	110	2	2	50	50
kw_0303	a.07	THT	ALD	CR		X						
