HPLC_ID	RetTime	Area	GS
7758	6.064	179.62	1ME	
7758	10.79	2516.31	6MSOH	
6346	3.442	1347.85	sinigrin	
6346	6.08	35.22	1ME	
6346	11.483	13.19	1MP	
7300	2.581	2200.16	2OH1ME	
7300	3.515	1500.38	sinigrin	
7300	6.266	14921.63	1ME	
7300	10.906	4999.07	6MSOH	
7300	11.621	324.39	1MP	
7184	3.452	1372.54	sinigrin	
7184	6.106	3816.25	1ME	
7184	10.799	832.19	6MSOH	
7184	11.494	305.67	1MP	
7603	3.535	1557.52	sinigrin	
7603	6.32	893.45	1ME	
7603	10.946	70.0	6MSOH	
7603	11.691	477.64	1MP	
6602	3.454	1355.23	sinigrin	
6602	6.109	2207.73	1ME	
6602	10.801	290.77	6MSOH	
6602	11.494	1376.51	1MP	
6297	3.447	1370.72	sinigrin	
6297	6.11	225.5	1ME	
6297	11.506	17.15	1MP	
6228	2.55	961.03	2OH1ME	
6228	3.454	1466.85	sinigrin	
6228	6.11	147.44	1ME	
6228	10.807	244.17	6MSOH	
6538	2.54	2759.23	2OH1ME	
6538	3.44	1551.9	sinigrin	
6538	6.08	1265.01	1ME	
6538	10.784	792.28	6MSOH	
7481	3.439	1299.4	sinigrin	
7481	6.056	2464.55	1ME	
7481	10.806	1211.64	6MSOH	
7481	11.494	1896.15	1MP	
7113	2.579	2094.22	2OH1ME	
7113	3.516	1457.53	sinigrin	
7113	6.234	91.37	1ME	
7113	10.901	867.61	6MSOH	
7400	3.454	1376.26	sinigrin	
7400	6.085	3197.81	1ME	
7400	10.794	552.66	6MSOH	
7400	11.495	459.26	1MP	
6669	3.458	1250.2	sinigrin	
6669	6.089	10635.83	1ME	
6669	10.776	1633.18	6MSOH	
6669	11.472	7160.74	1MP	
7729	3.449	1337.64	sinigrin	
7729	6.094	1117.51	1ME	
7729	10.799	148.28	6MSOH	
7729	11.502	71.58	1MP	
7092	3.54	1541.48	sinigrin	
7092	6.347	118.74	1ME	
7092	10.968	13.38	6MSOH	
7092	11.713	72.41	1MP	
6573	3.475	1476.27	sinigrin	
6573	6.175	1176.7	1ME	
6573	10.867	8.69	6MSOH	
6573	11.594	270.93	1MP	
6448	2.61	2076.04	2OH1ME	
6448	3.527	1607.49	sinigrin	
6448	6.307	245.91	1ME	
6448	10.917	1423.08	6MSOH	
6881	3.422	1395.63	sinigrin	
6881	10.767	1980.95	6MSOH	
7260	3.556	1576.14	sinigrin	
7260	6.115	122.53	1ME	
7260	10.951	7990.94	6MSOH	
7456	3.458	1449.24	sinigrin	
7456	6.117	741.96	1ME	
7456	10.813	133.5	6MSOH	
7456	11.522	361.61	1MP	
7756	3.567	1551.76	sinigrin	
7756	6.39	521.22	1ME	
7756	10.996	91.52	6MSOH	
7756	11.74	293.09	1MP	
7056	3.488	1464.6	sinigrin	
7056	6.18	250.6	1ME	
7056	11.576	39.04	1MP	
7677	3.484	1348.19	sinigrin	
7677	6.198	6341.19	1ME	
7677	10.84	97.4	6MSOH	
7677	11.543	462.27	1MP	
7554	2.529	443.26	2OH1ME	
7554	3.418	1411.71	sinigrin	
7554	6.03	900.14	1ME	
7554	10.751	1695.93	6MSOH	
7639	3.437	1440.24	sinigrin	
7639	6.088	1854.73	1ME	
7639	10.804	205.88	6MSOH	
7639	11.521	1258.1	1MP	
6295	3.463	1371.53	sinigrin	
6295	10.821	4397.64	6MSOH	
7354	2.537	1429.43	2OH1ME	
7354	3.471	1582.82	sinigrin	
7354	6.148	948.63	1ME	
7354	10.822	1317.23	6MSOH	
6576	3.42	1336.45	sinigrin	
6576	6.045	2470.91	1ME	
6576	10.766	68.46	6MSOH	
6576	11.477	1383.66	1MP	
6781	3.406	1340.11	sinigrin	
6781	6.008	880.15	1ME	
6781	10.731	30.5	6MSOH	
6781	11.428	628.67	1MP	
7380	2.533	576.26	2OH1ME	
7380	3.434	1389.69	sinigrin	
7380	6.054	163.8	1ME	
7380	10.773	217.2	6MSOH	
7573	2.548	658.27	2OH1ME	
7573	3.453	1439.0	sinigrin	
7573	6.126	1324.98	1ME	
7573	10.831	572.13	6MSOH	
6341	2.543	2552.02	2OH1ME	
6341	3.466	1582.56	sinigrin	
6341	6.15	72.88	1ME	
6341	10.827	1382.45	6MSOH	
6438	2.587	505.25	2OH1ME	
6438	3.543	1479.13	sinigrin	
6438	6.354	284.19	1ME	
6438	10.928	594.28	6MSOH	
7433	2.541	23.47	2OH1ME	
7083	3.555	1517.63	sinigrin	
7083	6.349	256.67	1ME	
7083	10.946	8.89	6MSOH	
7083	11.719	27.61	1MP	
7446	3.462	1409.74	sinigrin	
7446	10.825	2298.48	6MSOH	
6532	3.448	1377.05	sinigrin	
6532	6.106	1104.42	1ME	
6532	11.508	669.33	1MP	
7405	3.431	1410.0	sinigrin	
7405	6.045	2416.72	1ME	
7405	10.758	444.61	6MSOH	
7405	11.463	238.25	1MP	
7142	2.522	1991.61	2OH1ME	
7142	3.432	1540.8	sinigrin	
7142	6.08	1126.09	1ME	
7142	10.772	4271.72	6MSOH	
7584	3.462	1423.49	sinigrin	
7584	6.143	1135.47	1ME	
7584	10.827	117.27	6MSOH	
7584	11.541	22.98	1MP	
6368	2.601	3712.48	2OH1ME	
6368	3.526	1602.21	sinigrin	
6368	6.289	170.38	1ME	
6368	10.917	158.79	6MSOH	
6943	2.561	325.9	2OH1ME	
6943	3.474	1391.22	sinigrin	
6954	2.554	498.69	2OH1ME	
6954	3.465	1458.03	sinigrin	
6954	6.176	111.22	1ME	
6286	2.594	1304.8	2OH1ME	
6286	3.539	1536.82	sinigrin	
6286	6.313	212.05	1ME	
6286	10.94	199.62	6MSOH	
7454	2.539	82.99	2OH1ME	
7454	3.451	1395.51	sinigrin	
7454	6.123	394.2	1ME	
7454	10.819	337.56	6MSOH	
6950	2.512	2839.33	2OH1ME	
6950	3.423	1592.75	sinigrin	
6950	10.768	49.48	6MSOH	
6938	2.578	1006.75	2OH1ME	
6938	3.521	1536.71	sinigrin	
6938	6.277	200.09	1ME	
6938	10.922	56.37	6MSOH	
sinigrin60	3.537	1895.05	sinigrin	
6849	3.472	1395.2	sinigrin	
6849	6.16	375.08	1ME	
6849	10.835	41.12	6MSOH	
6849	11.55	46.95	1MP	
6491	3.535	1492.93	sinigrin	
6491	10.938	76.16	6MSOH	
7155	3.426	1365.38	sinigrin	
7155	6.071	809.99	1ME	
7155	10.769	67.27	6MSOH	
7155	11.474	56.98	1MP	
7779	3.454	1386.57	sinigrin	
7779	6.162	2032.54	1ME	
7779	10.825	65.5	6MSOH	
7779	11.53	79.26	1MP	
6514	2.59	870.94	2OH1ME	
6514	3.546	1501.24	sinigrin	
6514	6.379	38.62	1ME	
6514	10.952	8.16	6MSOH	
6514	11.711	6.22	1MP	
7412	2.61	1474.35	2OH1ME	
7412	3.58	1717.14	sinigrin	
7412	6.401	252.26	1ME	
7412	10.998	35.0	6MSOH	
6658	3.482	1477.18	sinigrin	
6658	6.208	2845.9	1ME	
6658	10.889	551.97	6MSOH	
6658	11.607	89.64	1MP	
7654	3.438	1321.55	sinigrin	
7654	6.063	2398.79	1ME	
7654	10.779	53.39	6MSOH	
7654	11.476	404.63	1MP	
6391	2.538	42.72	2OH1ME	
6391	3.441	1371.47	sinigrin	
6391	10.791	17.79	6MSOH	
7659	3.427	1351.09	sinigrin	
7659	10.778	3366.96	6MSOH	
7803	3.509	1448.62	sinigrin	
7803	6.212	1530.11	1ME	
7803	10.871	190.92	6MSOH	
7803	11.591	403.28	1MP	
6274	3.418	1357.89	sinigrin	
6274	10.768	4414.6	6MSOH	
6559	3.46	1363.17	sinigrin	
6559	6.158	3334.22	1ME	
6559	10.841	489.62	6MSOH	
6559	11.552	2440.36	1MP	
7774	2.593	3223.46	2OH1ME	
7774	3.536	1644.2	sinigrin	
7774	6.314	1223.0	1ME	
7774	10.935	677.95	6MSOH	
7653	3.48	1408.06	sinigrin	
7653	6.164	1969.4	1ME	
7653	10.831	382.96	6MSOH	
7653	11.549	1384.04	1MP	
7305	3.551	1607.67	sinigrin	
7305	6.349	3463.07	1ME	
7305	10.964	1042.25	6MSOH	
7305	11.711	116.83	1MP	
7528	3.458	1396.98	sinigrin	
7528	6.099	865.53	1ME	
7528	10.802	219.87	6MSOH	
7528	11.504	398.48	1MP	
7406	3.413	1347.77	sinigrin	
7406	6.043	1556.24	1ME	
7406	10.765	774.3	6MSOH	
7406	11.477	1322.9	1MP	
6512	2.522	2162.06	2OH1ME	
6512	3.429	1503.23	sinigrin	
6512	6.044	60.61	1ME	
6512	10.767	611.81	6MSOH	
7726	3.545	1509.79	sinigrin	
7726	6.375	3557.16	1ME	
7726	10.963	572.37	6MSOH	
7726	11.709	2042.75	1MP	
7407	2.559	1254.84	2OH1ME	
7407	3.477	1566.43	sinigrin	
7407	6.175	1597.65	1ME	
7407	10.838	1297.97	6MSOH	
6508	3.5	1450.46	sinigrin	
6508	6.201	4416.42	1ME	
6508	10.865	537.06	6MSOH	
6508	11.583	1038.74	1MP	
7806	3.46	1368.54	sinigrin	
7806	10.82	8964.55	6MSOH	
6402	3.431	1289.85	sinigrin	
6402	10.751	13583.08	6MSOH	
6241	2.521	2395.0	2OH1ME	
6241	3.412	1569.72	sinigrin	
6241	10.767	698.55	6MSOH	
7738	3.487	1458.18	sinigrin	
7738	6.186	901.17	1ME	
7738	10.856	179.4	6MSOH	
7738	11.582	516.81	1MP	
6278	3.451	1422.41	sinigrin	
6278	6.12	621.5	1ME	
6278	11.536	94.88	1MP	
7218	2.518	1605.75	2OH1ME	
7218	3.406	1480.24	sinigrin	
7218	6.026	1558.25	1ME	
7218	10.758	473.72	6MSOH	
6434	3.52	1391.29	sinigrin	
6434	6.28	4916.44	1ME	
6434	10.938	217.44	6MSOH	
6434	11.676	323.93	1MP	
7227	1.328	177.84	2OH1ME	
7227	1.884	757.56	sinigrin	
7227	3.54	185.52	1ME	
7227	5.875	86.13	6MSOH	
6916	1.826	655.7	sinigrin	
6916	3.434	4481.01	1ME	
6916	5.824	131.26	6MSOH	
6916	6.104	143.68	1MP	
7284	1.896	572.19	sinigrin	
7284	3.561	651.61	1ME	
7284	5.9	265.39	6MSOH	
7284	6.241	476.61	1MP	
7013	1.829	784.18	sinigrin	
7013	3.434	1463.23	1ME	
7013	5.832	259.01	6MSOH	
7013	6.108	1133.89	1MP	
6626	1.835	649.51	sinigrin	
6626	3.45	138.39	1ME	
6626	5.819	6989.74	6MSOH	
7019	1.82	601.86	sinigrin	
7019	3.451	273.14	1ME	
7109	1.807	639.06	sinigrin	
6561	1.791	794.79	sinigrin	
6561	3.371	1126.6	1ME	
6561	5.808	93.27	6MSOH	
6561	6.077	753.14	1MP	
6994	1.896	631.36	sinigrin	
6994	5.862	125.48	6MSOH	
7483	1.276	214.57	2OH1ME	
